Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	log_extinction[1]	log_extinction[2]	log_extinction[3]	log_extinction[4]	log_speciation[1]	log_speciation[2]	log_speciation[3]	log_speciation[4]	rate_01	rate_02	rate_03	rate_10	rate_12	rate_13	rate_20	rate_21	rate_23	rate_30	rate_31	rate_32	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	speciation[1]	speciation[2]	speciation[3]	speciation[4]
2300	-5715.77	-5727.18	11.413	0.236512	0.0639194	0.0473604	0.00425451	-1.44175	-2.75013	-3.04997	-5.45977	-0.674394	-1.79086	-1.64117	-1.59887	0.06151756	0.00865545	0.01208737	0.008263046	0.0005638167	0.001135966	9.5999e-05	0.001415275	8.641727e-05	0.007515186	0.0001636064	0.01156341	0.0780307	0.099712	0.603053	0.219204	0.509465	0.166817	0.193754	0.202125
2350	-5702.41	-5724.81	22.3968	0.104794	0.0302554	0.0456828	0.00669507	-2.25576	-3.49808	-3.08603	-5.00638	-0.952223	-1.88765	-1.80056	-1.47766	0.05825407	0.0119454	0.01352773	0.001415786	4.121144e-06	0.0002923423	0.0001874652	0.0005468427	8.775723e-05	0.002789996	1.485527e-05	0.00950226	0.305313	0.109481	0.282931	0.302275	0.385882	0.151427	0.165206	0.22817
2400	-5706.14	-5729.67	23.5329	0.169847	0.030587	0.0922005	0.00737734	-1.77286	-3.48718	-2.38379	-4.90934	-0.893398	-1.72447	-1.99577	-1.49576	0.04401828	0.01671066	0.01849376	0.004501568	4.362159e-06	0.0002717293	0.0002848836	0.0004929678	5.597899e-07	0.003146698	0.0005153208	0.009302202	0.464214	0.197939	0.208295	0.129551	0.409263	0.178267	0.135909	0.224077
2450	-5717.55	-5732.94	15.3884	0.148985	0.0355284	0.0550236	0.0136879	-1.90391	-3.33742	-2.89999	-4.29124	-0.789124	-1.83397	-1.31888	-1.42092	0.05843063	0.007525209	0.009831821	0.01065439	0.0001317123	0.002049318	0.004902675	0.0005292606	2.350371e-05	0.005731669	4.261739e-05	0.01019529	0.395928	0.133754	0.208	0.262317	0.454242	0.159778	0.267435	0.241491
2500	-5713.49	-5728.64	15.151	0.188885	0.0735546	0.0219858	0.0124532	-1.66662	-2.60973	-3.81736	-4.38578	-0.847623	-1.6518	-1.88712	-1.49821	0.06042026	0.01141002	0.01479328	0.004080882	6.564026e-05	6.591502e-05	0.001970072	0.00014406	0.0008985693	0.001388928	0.003709789	0.009782853	0.318059	0.297201	0.352896	0.031844	0.428432	0.191704	0.151508	0.223529
2550	-5709.73	-5732.82	23.0838	0.302987	0.10151	0.0237381	0.0326654	-1.19407	-2.2876	-3.74068	-3.42144	-0.645504	-1.65827	-1.72681	-1.33399	0.05932339	0.009388896	0.008219076	0.006559971	0.000858156	2.007162e-06	0.001633352	0.000203925	0.0003537634	0.00333337	0.0001482819	0.008176344	0.618297	0.0325537	0.27755	0.0715991	0.524398	0.190468	0.177851	0.263423
2600	-5709.94	-5731.6	21.6559	0.114097	0.0426097	0.0199176	0.0266125	-2.17071	-3.15567	-3.91615	-3.62638	-0.890694	-1.7557	-1.93404	-1.37935	0.05039608	0.009512188	0.01343504	0.005604339	0.0002148134	7.83925e-05	0.002048118	0.001249787	0.0002062856	0.0009618127	0.0001029402	0.01048693	0.116351	0.379801	0.116026	0.387822	0.410371	0.172785	0.144563	0.251743
2650	-5707.08	-5731.5	24.4215	0.117995	0.0131803	0.0127441	0.0352161	-2.13711	-4.32904	-4.36269	-3.34625	-0.908299	-1.98455	-1.83461	-1.36009	0.05337094	0.008120907	0.01112558	0.004803122	0.001274956	0.0001155821	0.0004813465	0.0002129287	2.090151e-05	0.002708265	3.629783e-06	0.006643656	0.556952	0.179684	0.237132	0.0262317	0.403209	0.137442	0.159675	0.256637
2700	-5708.95	-5731.9	22.9546	0.192732	0.0389498	0.0280662	0.0380876	-1.64645	-3.24548	-3.57319	-3.26787	-0.759241	-1.87679	-1.84794	-1.5052	0.04943533	0.008151405	0.01286142	0.002530844	0.0007646138	0.0002217353	0.003131997	0.0005933127	0.0003330147	0.003520304	1.435606e-05	0.01091644	0.324308	0.267687	0.38184	0.0261649	0.468022	0.15308	0.157561	0.221973
2750	-5706.68	-5732.5	25.8212	0.236426	0.0239582	0.0660128	0.0238842	-1.44212	-3.73144	-2.71791	-3.73454	-0.728476	-1.77788	-1.56714	-1.47209	0.04220535	0.01001053	0.01351162	0.004204287	7.768059e-05	0.0001399452	0.0002500473	0.0001137637	0.001180609	0.008985499	3.479037e-05	0.007839677	0.572418	0.0285739	0.339793	0.0592142	0.482644	0.168996	0.208641	0.229444
2800	-5708.12	-5729.09	20.9692	0.114525	0.0405421	0.0246689	0.0266329	-2.16696	-3.20541	-3.70221	-3.62561	-0.937862	-1.86902	-1.76337	-1.49866	0.04821825	0.01174682	0.01298667	0.006558087	0.0001692983	0.001194572	0.0003126759	0.0001599109	0.0003607624	0.003852062	0.0005115797	0.008123214	0.402749	0.177494	0.360264	0.0594927	0.391464	0.154275	0.171467	0.22343
2850	-5706.84	-5738.23	31.3965	0.186419	0.0936301	0.0750443	0.0462166	-1.67976	-2.3684	-2.58968	-3.07442	-0.887695	-1.74133	-1.65919	-1.43454	0.04553765	0.005945861	0.01124177	0.002643898	3.774461e-06	1.672138e-05	0.003535964	0.0002745187	0.001412357	0.002458775	6.04943e-05	0.01125104	0.69471	0.125776	0.0459664	0.133548	0.411604	0.175287	0.190293	0.238226
2900	-5710.47	-5734.9	24.4233	0.240927	0.107553	0.0555865	0.0290413	-1.42326	-2.22977	-2.88981	-3.53903	-0.752439	-1.60567	-1.55766	-1.43473	0.04806784	0.01230046	0.01044323	0.002426518	3.530851e-05	0.0001905751	0.001348267	0.0009418614	0.001191705	0.006843469	0.0001633867	0.007905784	0.462982	0.140949	0.0235049	0.372564	0.471216	0.200756	0.210628	0.23818
2950	-5713.66	-5729.61	15.9533	0.25445	0.0279458	0.0271876	0.0170937	-1.36865	-3.57749	-3.60499	-4.06904	-0.584784	-1.88318	-1.87644	-1.50682	0.04922953	0.01090363	0.01244357	0.008292316	0.0001234521	0.001106735	0.001116527	0.001068049	0.001500134	0.003920686	0.0004695132	0.00879011	0.570509	0.208047	0.0572061	0.164238	0.557226	0.152105	0.153134	0.221613
3000	-5718.34	-5735.96	17.6257	0.114591	0.0138371	0.00746339	0.0109337	-2.16638	-4.2804	-4.89775	-4.51591	-0.905047	-2.12108	-1.69226	-1.42332	0.04456076	0.01065563	0.01182385	0.008947572	7.981153e-05	0.0002491395	0.0006769135	0.0009593586	0.0004687624	0.002992948	0.0002590604	0.005923516	0.028356	0.275336	0.26048	0.435828	0.404523	0.119902	0.184102	0.240914
